name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Intravenous 2,15-08-2024,21187,20.39,346213.0,8.817770568327841,96,Indie,HypeTrain Digital,Explosive Squat Games,2608270
Realms Of Bondage,11-04-2024,26401,15.39,346056.0,5.603960071763862,97,Indie,Pink Tea,Pink Tea,2353700
Endzone 2,26-08-2024,16983,25.39.00,343752.0,5.897411388827951,77,Indie,Assemble Entertainment,Gentlymad Studios,2144640
The Magical Mixture Mill,27-03-2024,25696,20.39,343656.0,14.541935899621803,85,Indie,HOOK,Glowlight,1883800
Beyond Good & Evil - 20th Anniversary Edition,24-06-2024,23369,20.39,343615.0,6.166170872664671,79,AAA,Ubisoft,Ubisoft,2556990
Concord™,23-08-2024,9512,40.39.00,342346.0,5.463667928003807,71,AAA,PlayStation Publishing LLC,Firewalk Studios,2443720
X-Angels,21-06-2024,36871,11.39,341716.0,3.835195609566381,93,Indie,"Mango Party,Barance Studio,Mango Party News",Barance Studio,2090810
Lovey-Dovey Lockdown,13-03-2024,40648,10.39,341695.0,1.7328866681044426,0,Indie,"Mango Party,LewdLoco,Mango Party News","樹懶叫工作室,Sloth Gamer,Maker製造機",2329630
Swarm Grinder,22-04-2024,61398,08.39,341153.0,5.644090790477779,82,Indie,"Last Bite Games,Gamersky Games",Last Bite Games,1375900
No Plan B,03-04-2024,28877,15.39,340655.0,13.046670351591878,91,Indie,GFX47,GFX47,1269020
Felvidek,29-03-2024,34405,11.39,340299.0,3.3707920864324303,99,Indie,Tutto Passa,"Jozef Pavelka,Vlado Ganaj",2299900
Necrosmith 2,27-03-2024,56045,08.39,339556.0,10.07948469122065,0,Indie,Alawar,Alawar,2277320
Master Bladesmith,30-06-2024,14297,30.39.00,339360.0,10.739834315403728,75,Indie,Elixir Games,Elixir Games,1194830
Furnish Master,19-02-2024,26791,15.39,335843.0,3.571453533283467,78,Indie,Alex Blintsov,Alex Blintsov,2004080
